127.0.0.1 - - [22/Mar/2021:12:46:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Mar/2021:12:46:45 +0900] "GET /Semi_login/ HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [22/Mar/2021:12:48:51 +0900] "GET /Semi_login/ HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [22/Mar/2021:12:48:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2021:12:50:16 +0900] "GET /Semi_login/ HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Mar/2021:12:50:19 +0900] "GET /Semi_login/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:12:51:04 +0900] "GET /Semi_login/ HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Mar/2021:12:51:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2021:13:24:01 +0900] "GET /Semi_login/ HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [22/Mar/2021:13:24:02 +0900] "GET /Semi_login/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:13:24:03 +0900] "GET /Semi_login/ HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [22/Mar/2021:13:24:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2021:13:24:25 +0900] "GET /Semi_login/ HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [22/Mar/2021:13:25:36 +0900] "GET /Semi_login/ HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [22/Mar/2021:13:26:47 +0900] "GET /Semi_login/ HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [22/Mar/2021:13:27:03 +0900] "GET /Semi_login/ HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [22/Mar/2021:13:27:04 +0900] "GET /Semi_login/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:13:27:04 +0900] "GET /Semi_login/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:13:27:04 +0900] "GET /Semi_login/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:13:27:04 +0900] "GET /Semi_login/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:13:27:05 +0900] "GET /Semi_login/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:13:27:05 +0900] "GET /Semi_login/ HTTP/1.1" 304 -
